offer_id,token,position,pos_tag,token_count,label
0,¡,0,faa,1,n
0,CUN,1,np00000,2,o
0,a,5,sp000,3,s
0,Ámsterdam,7,np00000,4,d
0,$,17,zm,5,n
0,"8,960",18,dn0000,6,p
0,!,23,fat,7,n
0,Sin,25,sp000,8,n
0,escala,29,nc0s000,9,n
0,en,36,sp000,10,n
0,EE.UU,39,np00000,11,n
1,¡,0,faa,12,n
1,CUN,1,np00000,13,o
1,a,5,sp000,14,s
1,Bélgica,7,np00000,15,d
1,$,15,zm,16,n
1,"9,337",16,dn0000,17,p
1,!,21,fat,18,n
1,Directos,23,aq0000,19,n
2,¡,0,faa,20,n
2,CDMX,1,np00000,21,o
2,a,6,sp000,22,s
2,Punta,8,np00000,23,d
2,Arenas,14,np00000,24,d
2,$,21,zm,25,n
2,"10,467",22,dn0000,26,p
2,!,28,fat,27,n
3,¡,0,faa,28,n
3,CDMX,1,np00000,29,o
3,a,6,sp000,30,s
3,Marrakech,8,np00000,31,d
3,",",17,fc,32,d
3,Marruecos,19,np00000,33,d
3,-,28,fg,34,n
3,$,30,zm,35,n
3,"14,688",31,dn0000,36,p
3,!,37,fat,37,n
3,(,39,z0,38,n
3,Por,40,sp000,39,n
3,$,30,zm,40,n
3,"2,672",45,dn0000,41,n
3,agrega,51,vmip000,42,n
3,6,34,dn0000,43,n
3,noches,60,nc0p000,44,n
3,de,67,sp000,45,n
3,hotel,70,nc0s000,46,n
3,con,76,sp000,47,n
3,desayunos,80,nc0p000,48,n
3,),89,nc0s000,49,n
4,¡,0,faa,50,n
4,Todo,1,di0000,51,o
4,México,6,np00000,52,o
4,a,13,sp000,53,s
4,Amsterdam,15,np00000,54,d
4,🇳🇱,25,np00000,55,f
4,$,28,zm,56,n
4,"11,974",29,dn0000,57,p
4,!,35,fat,58,n
4,(,37,z0,59,n
4,Por,38,sp000,60,n
4,$,28,zm,61,n
4,"2,930",43,dn0000,62,n
4,agrega,49,vmip000,63,n
4,6,56,dn0000,64,n
4,noches,58,nc0p000,65,n
4,de,65,sp000,66,n
4,hostal,68,nc0s000,67,n
4,),74,nc0s000,68,n
5,¡,0,faa,69,n
5,GDL,1,np00000,70,o
5,a,5,sp000,71,s
5,Los,7,da0000,72,d
5,Ángeles,11,np00000,73,d
5,$,19,zm,74,n
5,"3,055",20,dn0000,75,p
5,!,25,fat,76,n
5,Directos,27,aq0000,77,n
5,(,36,nc0s000,78,n
5,Agrega,37,vmip000,79,n
5,3,20,rg,80,n
5,noches,46,nc0p000,81,n
5,de,53,sp000,82,n
5,hotel,56,nc0s000,83,n
5,por,62,sp000,84,n
5,$,19,zm,85,n
5,"3,350",67,dn0000,86,n
5,),72,nc0s000,87,n
6,¡,0,faa,88,n
6,CDMX,1,np00000,89,o
6,a,6,sp000,90,s
6,Vancouver,8,np00000,91,d
6,",",17,fc,92,d
6,Canadá,19,np00000,93,d
